stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4933,,Artazubekoa,,43.24967,-2.9419,,,0,
4934,,Maurice Ravel / Mirador,,43.26961,-2.92227,,,0,
4935,,Zubileta 74,,43.2557,-2.97343,,,0,
4936,,Uretamendi / Plaza,,43.2485812319,-2.94937580824,,,0,
4937,,Txomin Garat 9 / Anbulatorioa,,43.25705,-2.90695,,,0,
4938,,La Floresta,,43.24691,-2.92973,,,0,
4939,,Cocherito De Bilbao 14,,43.24895,-2.90937,,,0,
4941,,Goiko Torre 12,,43.24764,-2.93162,,,0,
4942,,Zurbaranbarri,,43.26457,-2.91215,,,0,
4943,,Fika 22,,43.2561,-2.91932,,,0,
4944,,Fernando Jiménez 12,,43.2508,-2.90454,,,0,
4945,,Basurtubekoa / Iparralde,,43.25867,-2.95197,,,0,
4946,,Masustegi Estrata / Eskola,,43.25371,-2.95684,,,0,
4947,,Ernesto Erkoreka / Udaletxea,,43.26393,-2.92357,,,0,
4948,,Errekalde - Larraskitu / Kiroldegia,,43.24593,-2.93818,,,0,
4949,,Egileor 4,,43.27446,-2.94716,,,0,
4950,,Masustegi Estrata / Eskailerak,,43.25388,-2.95932,,,0,
4951,,Circo Amateur Kiroldegia,,43.24985,-2.90862,,,0,
4952,,Olabeaga 30,,43.26472,-2.95757,,,0,
4953,,Betolatza 51,,43.24809,-2.9505,,,0,
4954,,Blas De Otero 23 / Anbulatorioa,,43.27008,-2.94707,,,0,
4955,,Julián Gaiarre 8,,43.25029,-2.90374,,,0,
4956,,Masustegi 3,,43.25594,-2.91306,,,0,
4957,,Botika Zaharra / Deustuko Zubia,,43.26979,-2.94069,,,0,
4958,,Gregorio La Revilla 1,,43.26373,-2.93915,,,0,
4959,,Vía Vieja De Lezama 73,,43.27004,-2.91974,,,0,
4960,,Jesús Galíndez 26,,43.26025,-2.90471,,,0,
4961,,Kobetabidea 104,,43.26414,-2.9654,,,0,
4962,,Zorrotzaurre 9,,43.27251,-2.96522,,,0,
4964,,Sagarmínaga 32 / Eskola,,43.24904,-2.91354,,,0,
4965,,Indalecio Prieto 1,,43.24885,-2.91943,,,0,
4966,,Viuda De Epalza 1 / San Nicolás,,43.26047,-2.92276,,,0,
4967,,Circo Amateur / Bolueta,,43.24867,-2.90691,,,0,
4968,,Benito Alberdi 6,,43.25265,-2.94497,,,0,
4969,,Gran Vía 63,,43.26411,-2.94031,,,0,
4970,,Madariaga / Basabe,,43.27066,-2.95651,,,0,
4971,,Masustegi Estrata / Mintegitxueta,,43.25265,-2.9554,,,0,
4972,,Makua,,43.25675,-2.91193,,,0,
4973,,"Karitateko Alaben, 3",,43.24618,-2.94099,,,0,
4974,,Iparraguirre 29,,43.26279,-2.93652,,,0,
4975,,Xenpelar / Trav. Zabala,,43.25273,-2.93263,,,0,
4976,,Kobetabidea 104,,43.26403,-2.96535,,,0,
4977,,Olabeaga / Dikea,,43.26529,-2.9521,,,0,
